init_state,Value
 xx o    ,0
 xx o   o,1
xxo    o ,0
xxo   xo ,0
  oxooxx ,1
  oxooxxx,1
 ooxo  xx,1
 ooxox xx,-1
 xx   oox,1
 xx o oox,1
oxo  xxox,0
oxoo xxox,0
o  x xo x,1
o  xoxo x,1
x o o x x,1
x o o xox,1
   x    o,1
   xx   o,0
oo   x x ,1
oo   xxx ,-1
   x oo x,0
x  x oo x,0
 oox   x ,1
 oox   xx,-1
 x x xo o,-1
 x xoxo o,-1
o xx x o ,1
ooxx x o ,1
  o  x x ,-1
  oo x x ,0
x   x o  ,0
xo  x o  ,1
ox xx  o ,0
ox xxo o ,0
 oxo xx  ,1
ooxo xx  ,1
     x  o,0
x    x  o,0
   x o   ,0
   x ox  ,0
  ox x xo,-1
o ox x xo,1
x   xoo  ,1
x   xoox ,1
ox  oo xx,1
oxx oo xx,-1
xo ox xo ,1
xoxox xo ,1
oo  xxx o,1
oo xxxx o,1
o   x  ox,1
o  xx  ox,0
o x  xxo ,1
oox  xxo ,1
 x x oxo ,0
 xox oxo ,1
x  oxxoxo,0
x ooxxoxo,1
x ooxxxoo,0
xxooxxxoo,0
o x  ox x,1
o xo ox x,1
xox  x o ,-1
xox  xoo ,1
xxo x o o,1
xxo xxo o,-1
 xo   x o,0
xxo   x o,-1
 oox x   ,1
 oox x  x,-1
o xxo o x,1
o xxo oxx,0
ox  oox x,1
oxx oox x,-1
ox       ,0
ox     x ,-1
o  x x  o,1
o xx x  o,-1
xx o  o x,1
xx o oo x,1
o xxoxox ,-1
o xxoxoxo,-1
oxx   xoo,1
oxx x xoo,1
x  oo  xx,-1
x  ooo xx,-1
 oxxx oxo,0
ooxxx oxo,1
xoxo o  x,1
xoxo o xx,-1
o   o x x,1
ox  o x x,0
 o   x xo,0
 o   xxxo,-1
  ox oxx ,-1
 oox oxx ,1
x xx oo o,1
xxxx oo o,1
xoxoo xx ,-1
xoxoo xxo,0
 xooxox  ,1
 xooxoxx ,1
     oxx ,-1
o    oxx ,1
o x oxxo ,1
oxx oxxo ,-1
 ox     x,1
 ox   o x,1
   o   x ,1
x  o   x ,0
x x o o x,1
x x ooo x,1
  xx  oo ,1
 xxx  oo ,-1
xx o ox o,1
xx o oxxo,-1
    oxox ,0
   xoxox ,-1
  xx o ox,0
  xxoo ox,0
 ox x o x,1
 ox xoo x,1
 oxxxo o ,1
xoxxxo o ,1
 xo xo ox,1
xxo xo ox,1
xox  x oo,-1
xox xx oo,-1
oxo  xxxo,-1
oxo oxxxo,-1
o x  x   ,1
o xo x   ,1
xo  xox  ,1
xo  xoxo ,1
x xxox oo,-1
x xxoxooo,-1
x ooo  xx,1
xxooo  xx,-1
   xxo o ,1
   xxoxo ,1
   xx o o,1
   xxxo o,1
 oxo x x ,0
ooxo x x ,1
 ox xxo  ,1
 ox xxo o,1
o x  o  x,1
o xx o  x,0
xx ox  oo,1
xx ox xoo,0
ox      x,0
 oox  xxo,1
xoox  xxo,1
 xxox   o,1
 xxoxo  o,1
 xo x    ,0
oxo x    ,1
 x x ooox,1
 x xxooox,0
xx   oxoo,1
xx x oxoo,1
 x    xoo,1
 x x  xoo,1
oxx     o,1
oxx   x o,-1
 o x    x,0
 o x o  x,1
 xxxo o  ,0
 xxxooo  ,1
xoo xo x ,1
xooxxo x ,-1
xx oo  x ,-1
xx oo  xo,1
 x x oox ,0
ox x oox ,1
oo  xxox ,1
oo  xxoxx,-1
 oo xxx  ,-1
 oo xxxo ,1
x oxo  xo,1
x oxo xxo,1
xo oxxxo ,1
 xoo ox x,1
 xoo oxxx,1
 xoxx o o,1
 xoxxxo o,1
 oxx  x o,1
ooxx  x o,1
xo x o x ,0
xo x o xo,1
ox  ox x ,-1
ox  ox xo,-1
oxxo  x o,1
oxxo  xxo,-1
  oxx    ,0
  oxxo   ,0
 o xoxx o,1
 o xoxxxo,-1
  o   oxx,1
  o  xoxx,-1
o o xx x ,-1
o o xxox ,1
xx  o o x,-1
xx  o oox,1
 xxxo o o,1
 xxxo oxo,-1
xo xx oo ,1
